name,lat,temp_max,winds,clouds,humidity
burns lake,54.23,44.56,3.6,0,72
matara,-13.74,53.6,10.29,75,54
bundaberg,-24.87,75.07,11.43,0,98
antofagasta,-23.65,62.6,13.87,40,67
alihe,50.57,25.34,11.32,88,68
chapais,49.78,30.2,9.17,1,50
sydney,-33.85,61.61,26.4,75,77
blois,47.59,37.44,9.31,75,92
honiara,-9.43,75.2,2.71,20,94
los llanos de aridane,28.66,66.2,10.29,75,93
conceicao do araguaia,-8.26,84.16,2.37,24,89
lichinga,-13.3,58.37,2.48,0,85
fairbanks,64.84,29.57,3.36,90,100
tautira,-17.73,82.4,3.36,20,74
petropavlovsk-kamchatskiy,53.05,37.4,4.47,75,86
beringovskiy,63.05,28.13,6.62,80,100
bulolo,-7.2,63.86,1.14,88,97
pontal do parana,-25.67,85.46,18.34,75,44
vila franca do campo,37.72,64.4,17.22,75,59
minudasht,37.23,53.11,0.92,88,100
novo aripuana,-5.12,79.66,1.7,20,93
jambi,-1.6,74.21,5.06,64,98
bandarbeyla,9.49,76.64,7.4,8,100
goundam,16.42,75.97,8.97,0,28
cagliari,46.38,42.19,33.33,90,100
asosa,10.07,70.21,4.05,0,72
menongue,-14.66,72.37,5.61,48,32
laukaa,62.42,28.4,4.7,75,92
dubrajpur,23.79,66.47,2.93,24,86
billings,45.79,53.6,8.05,75,58
sao filipe,14.9,78.35,12.44,8,98
mnogovershinnyy,53.94,39.38,12.66,92,96
russell,-33.01,82.4,8.05,20,34
marabba,12.35,85.96,12.77,0,32
kita,35.76,59.56,5.82,75,72
yushala,57.08,32.0,6.71,0,65
taywarah,33.35,29.75,1.92,12,73
clyde river,70.47,14.54,17.02,68,100
high level,58.52,37.4,3.49,75,74
hamminkeln,51.73,42.35,3.36,0,93
codrington,-28.95,66.74,3.15,8,84
panaba,21.28,89.33,8.52,32,46
fort nelson,58.81,50.0,12.75,75,43
eirunepe,-6.66,86.09,3.15,48,68
dongfeng,42.67,27.68,11.1,0,70
ketchikan,55.34,50.94,9.17,90,71
batemans bay,-35.71,53.15,7.63,0,90
ixtapa,20.71,86.0,10.29,20,70
salalah,17.01,78.8,4.7,20,83
sept-iles,50.2,32.0,13.87,20,59
payson,40.04,64.33,17.22,40,34
khani,41.96,48.2,9.17,40,87
kenitra,34.26,64.4,12.75,75,72
ust-nera,64.57,2.89,2.26,44,76
shingu,33.72,60.17,15.46,0,100
goderich,43.74,41.81,15.12,92,100
apatity,67.57,26.11,6.73,64,92
zhangye,38.94,29.84,7.18,0,67
atbasar,51.81,44.33,19.82,92,100
tongren,27.72,48.38,2.48,56,71
ewa beach,21.32,80.6,5.82,75,65
nioki,-2.72,76.87,1.7,8,92
tikapur,28.53,56.57,2.93,0,62
sabara,-24.25,74.17,8.86,36,70
kijang,35.24,42.8,1.12,0,81
bell ville,-32.63,72.86,6.96,88,70
puerto cabezas,14.04,86.0,11.41,75,79
kaitangata,-46.28,48.16,4.27,92,100
nsanje,-16.92,72.95,10.76,0,67
raudeberg,61.99,39.2,9.17,0,64
basudebpur,21.14,78.08,2.71,0,100
port-cartier,50.03,32.0,13.87,20,100
wilmington,39.75,49.57,16.11,90,87
parnamirim,-5.92,84.2,12.75,75,58
taoudenni,22.68,69.76,5.06,20,29
mehamn,71.03,31.64,14.23,88,83
caravelas,-17.73,79.12,31.34,20,97
mercedes,-33.25,72.41,6.06,24,59
karlstad,59.38,35.6,14.99,88,64
komsomolskiy,67.55,26.24,11.43,80,88
avera,33.19,62.96,14.99,75,59
rocha,-34.48,62.02,9.31,88,81
kungurtug,50.6,10.36,5.28,0,70
pangoa,-12.12,74.93,0.58,56,75
bani,15.89,74.93,3.04,8,100
kholm-zhirkovskiy,55.52,44.02,12.66,92,96
pisco,-13.71,68.0,11.41,0,72
souillac,45.6,42.46,8.05,0,65
dargaville,-35.94,63.41,10.65,36,85
verkhnyaya inta,65.99,29.03,4.61,92,82
moose factory,51.26,35.6,10.29,1,55
sigli,5.38,76.82,3.15,44,100
farah,32.37,58.1,2.59,32,88
bismarck,46.81,58.03,31.09,1,62
wanning,48.64,44.6,3.36,75,100
kinshasa,-4.32,84.2,1.12,20,70
longyan,25.1,46.27,1.92,0,91
dwarka,28.58,69.8,2.82,0,73
nixa,37.04,67.35,6.93,1,42
cockburn town,21.46,83.17,9.75,12,100
teguldet,57.31,38.75,7.96,0,70
jumla,29.28,26.42,2.48,8,90
whitehorse,60.72,39.2,14.99,20,60
la palma,5.36,75.97,0.13,48,82
bireun,5.2,79.43,2.37,64,100
lake jackson,29.03,78.39,5.82,1,42
keflavik,64.0,40.17,23.04,90,100
ukiah,39.15,71.6,4.7,1,56
la ronge,55.1,32.0,7.96,90,74
sabaudia,41.3,70.79,20.8,75,73
tazovskiy,67.47,29.62,24.63,64,89
zambrow,52.99,42.31,10.65,68,73
misawa,40.75,55.22,11.77,0,100
ankazobe,-18.32,60.8,6.93,75,93
kalengwa,-13.47,72.05,11.21,0,27
foso,5.7,77.99,7.18,24,81
puerto triunfo,5.87,82.31,1.92,24,87
porto novo,-23.68,80.6,17.22,75,61
tual,-5.67,81.64,5.95,48,100
kuytun,54.34,22.37,2.37,0,76
bilibino,68.06,-0.4,2.59,80,74
port hawkesbury,45.62,37.4,3.36,90,44
binghamton,42.1,37.4,13.87,90,93
presidente epitacio,-21.76,78.71,8.41,32,73
nuuk,64.17,35.6,36.91,75,74
waingapu,-9.65,69.67,3.27,12,100
luganville,-15.51,77.99,4.94,32,100
peachland,49.77,47.46,2.24,1,57
tayoltita,24.11,85.96,2.15,0,33
apastovo,55.2,33.8,8.95,75,80
kavieng,-2.57,80.6,6.62,56,100
huarmey,-10.07,71.6,4.27,20,54
sao jose da coroa grande,-8.9,78.31,12.55,0,78
thanh hoa,10.21,77.32,8.41,12,93
yumen,40.29,29.44,6.73,0,60
puerto madero,-34.61,69.84,9.17,40,64
palmetto,33.52,58.21,4.7,90,71
santa isabel do rio negro,-0.41,88.12,4.38,12,68
coihaique,-45.58,62.6,5.82,40,42
dicabisagan,17.08,74.84,14.34,92,100
atambua,-9.11,73.99,5.39,0,100
